Ticker,Last,Current,Expected,Return,Obs,Nop,Pnop,Adj_R2,F_stat,RSE,SPY,Sector
HPQ,2017-06-01,19.21,20.227639472,0.0529744649684,64.0,4,1,0.678060888029,34.1722943544,0.210889098209,0.151692,Information Technology
HRB,2017-06-16,30.41,17.9718087565,-0.409016482851,65.0,1,1,0.476340043634,59.2167156796,0.230221102683,0.029854,Consumer Discretionary
HRL,2017-06-09,34.33,40.2278444344,0.171798556203,65.0,4,2,0.981979549632,872.880140242,0.0925547025519,0.041164,Consumer Staples
HRS,2017-05-03,113.88,119.676385559,0.0508990653256,63.0,3,2,0.9512826283,404.548884084,0.14093339167,0.066473,Information Technology
HSIC,2017-05-09,182.83,160.828337023,-0.120339457292,63.0,2,1,0.968859221379,965.479283831,0.107325783983,0.06883,Health Care
HST,2017-05-02,18.68,15.0791449597,-0.192765259119,63.0,1,1,0.768563723491,206.89231548,0.204841100827,0.062984,Real Estate
HSY,2017-04-28,106.45,128.173307016,0.204070521524,63.0,3,1,0.898557306975,184.060837508,0.155535035686,0.070446,Consumer Staples
HUM,2017-05-03,232.6,268.124979558,0.152729920714,58.0,2,1,0.921198513512,334.16830437,0.22554455754,0.160577,Health Care
IBM,2017-07-25,145.07,115.721926294,-0.202302844875,65.0,2,1,0.868727730195,212.768162518,0.144788596564,0.597368,Information Technology
IDXX,2017-04-28,164.4,236.696544885,0.439760005384,63.0,4,2,0.974218851321,586.714484007,0.127002080324,0.069333,Health Care
IFF,2017-05-08,133.58,137.628009326,0.030304007534,63.0,2,1,0.966603822229,898.249939634,0.104527928985,0.04926,Materials
ILMN,2017-05-05,174.33,18.5088307282,-0.89382876884,64.0,4,1,0.935556959477,229.651876015,0.387567989413,0.118077,Health Care
INCY,2017-05-04,132.72,22590.2840381,169.210096731,63.0,3,0,0.821292471503,95.9785265744,0.464827752891,0.106578,Health Care
INTC,2017-07-27,34.97,40.097162351,0.146616023764,65.0,2,1,0.816892265476,143.760504155,0.135238080983,0.771923,Information Technology
INTU,2017-05-23,136.87,86.8890858368,-0.365170703319,63.0,2,1,0.899703619424,279.083935253,0.190533186784,0.155036,Information Technology
IP,2017-05-05,57.49,57.7037193551,0.00371750487168,66.0,3,1,0.662988785484,43.6239733282,0.235267972155,0.110863,Materials
IPG,2017-07-27,21.35,17.4294908959,-0.183630403002,64.0,1,1,0.70447229362,151.177981759,0.268010185405,0.047462,Consumer Discretionary
IR,2017-07-26,87.78,101.750393594,0.159152353547,58.0,3,2,0.803302329278,78.5949415176,0.256334458269,0.112773,Industrials
IRM,2017-04-27,34.76,37.3565285754,0.0746987507301,63.0,3,1,0.904274637711,196.228746758,0.129876631352,0.040103,Real Estate
