Name,Ticker,Weight,Sector,Shares
Nasdaq Inc.,NDAQ,0.038255,Financials,1260203
J.B. Hunt Transport Services Inc.,JBHT,0.037827,Industrials,980489
Kimco Realty Corporation,KIM,0.03725,Real Estate,4641531
Allegion PLC,ALLE,0.0362,Industrials,1059133
Advance Auto Parts Inc.,AAP,0.035205,Consumer Discretionary,809110
PerkinElmer Inc.,PKI,0.035043,Health Care,1196961
NRG Energy Inc.,NRG,0.035035,Utilities,3447544
Scripps Networks Interactive Inc. Class A,SNI,0.034846,Consumer Discretionary,1046352
AES Corporation,AES,0.034809,Utilities,7263394
Macerich Company,MAC,0.034588,Real Estate,1392519
Envision Healthcare Corp.,EVHC,0.034393,Health Care,1296450
CF Industries Holdings Inc.,CF,0.03384,Materials,2579054
Mattel Inc.,MAT,0.033648,Consumer Discretionary,3746103
Macy's Inc,M,0.033199,Consumer Discretionary,3414194
Kohl's Corporation,KSS,0.033188,Consumer Discretionary,1968963
Leggett & Platt Incorporated,LEG,0.033097,Consumer Discretionary,1493691
PulteGroup Inc.,PHM,0.032733,Consumer Discretionary,3197217
Tractor Supply Company,TSCO,0.032314,Consumer Discretionary,1473481
Apartment Investment and Management Company Class A,AIV,0.031934,Real Estate,1725798
