Ticker,Name,Asset Class,Weight,Sector
DY,DYCOM INDUSTRIES INC,Equity,0.16,Industrials
MOH,MOLINA HEALTHCARE INC,Equity,0.16,Health Care
ENR,ENERGIZER HOLDINGS INC,Equity,0.16,Consumer Staples
SKT,TANGER FACTORY OUTLET CENTERS REIT,Equity,0.16,Real Estate
PBF,PBF ENERGY INC CLASS A,Equity,0.16,Energy
OII,OCEANEERING INTERNATIONAL INC,Equity,0.16,Energy
UE,URBAN EDGE PROPERTIES,Equity,0.16,Real Estate
WBMD,WEBMD HEALTH CORP,Equity,0.15,Information Technology
CVLT,COMMVAULT SYSTEMS INC,Equity,0.15,Information Technology
MUSA,MURPHY USA INC,Equity,0.15,Consumer Discretionary
CHDN,CHURCHILL DOWNS INC,Equity,0.15,Consumer Discretionary
ESL,ESTERLINE TECHNOLOGIES CORP,Equity,0.15,Industrials
BXS,BANCORPSOUTH INC,Equity,0.15,Financials
GATX,GATX CORP,Equity,0.15,Industrials
JWA,JOHN WILEY AND SONS INC CLASS A,Equity,0.15,Consumer Discretionary
IDCC,INTERDIGITAL INC,Equity,0.15,Information Technology
MTX,MINERALS TECHNOLOGIES INC,Equity,0.15,Materials
KNX,KNIGHT TRANSPORTATION INC,Equity,0.15,Industrials
LANC,LANCASTER COLONY CORP,Equity,0.15,Consumer Staples
KBR,KBR INC,Equity,0.15,Industrials
MDRX,ALLSCRIPTS HEALTHCARE SOLUTIONS IN,Equity,0.15,Health Care
UFS,DOMTAR CORP,Equity,0.15,Materials
PBI,PITNEY BOWES INC,Equity,0.15,Industrials
VSH,VISHAY INTERTECHNOLOGY INC,Equity,0.15,Information Technology
CREE,CREE INC,Equity,0.15,Information Technology
NYT,NEW YORK TIMES CLASS A,Equity,0.14,Consumer Discretionary
LPNT,LIFEPOINT HEALTH INC,Equity,0.14,Health Care
INT,WORLD FUEL SERVICES CORP,Equity,0.14,Energy
KMPR,KEMPER CORP,Equity,0.14,Financials
CMP,COMPASS MINERALS INTERNATIONAL INC,Equity,0.14,Materials
BID,SOTHEBYS,Equity,0.14,Consumer Discretionary
MSA,MSA SAFETY INC,Equity,0.14,Industrials
SLGN,SILGAN HOLDINGS INC,Equity,0.14,Materials
BIG,BIG LOTS INC,Equity,0.14,Consumer Discretionary
CVG,CONVERGYS CORP,Equity,0.14,Information Technology
CLI,MACK-CALI REALTY REIT CORP,Equity,0.14,Real Estate
GME,GAMESTOP CORP CLASS A,Equity,0.14,Consumer Discretionary
WOR,WORTHINGTON INDUSTRIES INC,Equity,0.14,Materials
CMC,COMMERCIAL METALS,Equity,0.13,Materials
FII,FEDERATED INVESTORS INC CLASS B,Equity,0.13,Financials
MCY,MERCURY GENERAL CORP,Equity,0.13,Financials
TPH,TRI POINTE GROUP INC,Equity,0.13,Consumer Discretionary
MTDR,MATADOR RESOURCES,Equity,0.13,Energy
NBR,NABORS INDUSTRIES LTD,Equity,0.13,Energy
GMED,GLOBUS MEDICAL INC CLASS A,Equity,0.13,Health Care
MIK,MICHAELS COMPANIES INC,Equity,0.13,Consumer Discretionary
PAY,VERIFONE SYSTEMS INC,Equity,0.13,Information Technology
TRMK,TRUSTMARK CORP,Equity,0.13,Financials
GVA,GRANITE CONSTRUCTION INC,Equity,0.13,Industrials
MDP,MEREDITH CORP,Equity,0.13,Consumer Discretionary
IBOC,INTERNATIONAL BANCSHARES CORP,Equity,0.13,Financials
CCP,CARE CAPITAL PROPERTIES INC,Equity,0.13,Real Estate
DECK,DECKERS OUTDOOR CORP,Equity,0.13,Consumer Discretionary
PZZA,PAPA JOHNS INTERNATIONAL INC,Equity,0.13,Consumer Discretionary
ATI,ALLEGHENY TECHNOLOGIES INC,Equity,0.12,Materials
MLHR,HERMAN MILLER INC,Equity,0.12,Industrials
CAKE,CHEESECAKE FACTORY INC,Equity,0.12,Consumer Discretionary
HYH,HALYARD HEALTH INC,Equity,0.12,Health Care
AEO,AMERICAN EAGLE OUTFITTERS INC,Equity,0.12,Consumer Discretionary
PCH,POTLATCH REIT CORP,Equity,0.12,Real Estate
ALEX,ALEXANDER & BALDWIN INC,Equity,0.12,Real Estate
ACXM,ACXIOM CORP,Equity,0.12,Information Technology
KBH,KB HOME,Equity,0.12,Consumer Discretionary
ATGE,ADTALEM GLOBAL EDUCATION INC,Equity,0.12,Consumer Discretionary
QEP,QEP RESOURCES INC,Equity,0.12,Energy
CTB,COOPER TIRE AND RUBBER,Equity,0.12,Consumer Discretionary
UNFI,UNITED NATURAL FOODS INC,Equity,0.12,Consumer Staples
CRS,CARPENTER TECHNOLOGY CORP,Equity,0.12,Materials
ENDP,ENDO INTERNATIONAL PLC,Equity,0.12,Health Care
GPOR,GULFPORT ENERGY CORP,Equity,0.12,Energy
BWLD,BUFFALO WILD WINGS INC,Equity,0.11,Consumer Discretionary
CARS,CARS.COM INC,Equity,0.11,Information Technology
OMI,OWENS & MINOR INC,Equity,0.11,Health Care
URBN,URBAN OUTFITTERS INC,Equity,0.11,Consumer Discretionary
DBD,DIEBOLD NIXDORF INC,Equity,0.1,Information Technology
EAT,BRINKER INTERNATIONAL INC,Equity,0.1,Consumer Discretionary
WPG,WASHINGTON PRIME GROUP INC,Equity,0.1,Real Estate
ESV,ENSCO PLC CLASS A,Equity,0.1,Energy
DRQ,DRIL QUIP INC,Equity,0.1,Energy
SPN,SUPERIOR ENERGY SERVICES INC,Equity,0.1,Energy
HNI,HNI CORP,Equity,0.1,Industrials
QCP,QUALITY CARE PROPERTIES INC,Equity,0.1,Real Estate
DDS,DILLARDS INC CLASS A,Equity,0.1,Consumer Discretionary
SYNA,SYNAPTICS INC,Equity,0.1,Information Technology
GNW,GENWORTH FINANCIAL A INC,Equity,0.1,Financials
PLT,PLANTRONICS INC,Equity,0.09,Information Technology
SM,SM ENERGY,Equity,0.09,Energy
GEF,GREIF INC CLASS A,Equity,0.09,Materials
DDD,3D SYSTEMS CORP,Equity,0.09,Information Technology
DNOW,NOW INC,Equity,0.09,Industrials
RDC,ROWAN COMPANIES CLASS A PLC,Equity,0.09,Energy
SAM,BOSTON BEER INC CLASS A,Equity,0.09,Consumer Staples
KN,KNOWLES CORP,Equity,0.08,Information Technology
DF,DEAN FOODS,Equity,0.08,Consumer Staples
THC,TENET HEALTHCARE CORP,Equity,0.08,Health Care
FCN,FTI CONSULTING INC,Equity,0.08,Industrials
WERN,WERNER ENTERPRISES INC,Equity,0.08,Industrials
OIS,OIL STATES INTERNATIONAL INC,Equity,0.08,Energy
HSNI,HSN INC,Equity,0.08,Consumer Discretionary
FTR,FRONTIER COMMUNICATIONS CORP,Equity,0.08,Telecommunications
AVP,AVON PRODUCTS INC,Equity,0.08,Consumer Staples
NSR,NEUSTAR INC CLASS A,Equity,0.07,Information Technology
DO,DIAMOND OFFSHORE DRILLING INC,Equity,0.05,Energy
ISCA,INTERNATIONAL SPEEDWAY CORP CLASS,Equity,0.05,Consumer Discretionary
TR,TOOTSIE ROLL INDUSTRIES INC,Equity,0.04,Consumer Staples
